code,en,shn
aa,Afar,ဢႃးၾႃႇ
ab,Abkhazian,ဢပ်ႇၶႃးၸီႇယႅၼ်ႇ
ace,Achinese,ဢႃးၶျိၼ်းၼိတ်ႉ
ach,Acoli,ဢၶေႃးလီႇ
ada,Adangme,ဢတႅင်းမီႇ
ady,Adyghe,ဢတီၵေး
ae,Avestan,ဢဝႅတ်ႉသတၼ်ႇ
aeb,Tunisian Arabic,တူႇၼီးသီႇယႅၼ်ႇ ဢရပိၵ်ႉ
af,Afrikaans,ဢၾရိၵၢၼ်း
afh,Afrihili,ဢၾရိႁိရီႇ
agq,Aghem,ဢၵ်ႉႁဵမ်
ain,Ainu,ဢၢႆးၼူ
ak,Akan,ဢႃးၵၼ်ႇ
akk,Akkadian,ဢၶႃးတီႇယႅၼ်ႇ
akz,Alabama,ဢလပႃးမႃး
ale,Aleut,ဢႃးလီယုတ်ႉ
aln,Gheg Albanian,ၵႅၵ်ႉ ဢႄႇလ်ပေးၼီးယႅၼ်ႇ
alt,Southern Altai,ဢႃးတႆး ပွတ်းၸၢၼ်း
am,Amharic,ဢမ်ႇႁႄးရိၵ်ႉ
an,Aragonese,ဢရၵၼိတ်ႉ
ang,Old English,ဢိင်းၵလဵတ်ႈ ပၢၼ်ၵဝ်ႇ
anp,Angika,ဢႅၼ်ၵျိၵႃႇ
ar,Arabic,ဢႃးရပိၵ်ႉ
ar_001,Arabic (Modern Standard),ဢႃးရပိၵ်ႉ လၵ်းၸဵင် ပၢၼ်မႂ်ႇ
arc,Aramaic,ဢႃးရမ်းမိၵ်ႉ
arn,Mapuche,မပူးၶျီႇ
aro,Araona,ဢႃႇရၢဝ်းၼႃႇ
arp,Arapaho,ဢရပႁူဝ်
arq,Algerian Arabic,ဢႃးရပိၵ်ႉ ဢႄႇလ်ၵျီးရီးယႅၼ်ႇ
ars,Najdi Arabic,ဢႃးရပိၵ်ႉ ၼႃးၸတိ
arw,Arawak,ဢႃးရဝၵ်ႉ
ary,Moroccan Arabic,ဢႃးရပိၵ်ႉ မေႃရွၵ်ႉၶႅၼ်ႇ
arz,Egyptian Arabic,ဢႃးရပိၵ်ႉ ဢီးၵျိပ်ႈသျၼ်ႇ
as,Assamese,ဢႃႇသမ်ႇ
asa,Asu,ဢသူး
ase,American Sign Language,ၽႃႇသႃႇၵႂၢမ်း ႁၢင်ႈမၢႆတွင်း ဢမႄႇရိၵၢၼ်ႇ
ast,Asturian,ဢတိူဝ်ႇရီႇယႅၼ်ႇ
av,Avaric,ဢႃးဝရိၵ်ႉ
avk,Kotava,ၶူဝ်ထႃႉဝႃႇ
awa,Awadhi,ဢႃးဝတီႇ
ay,Aymara,ဢၢႆးမႃးရ
az,Azerbaijani,ဢႃႇၸႃႇပၢႆႇၸၼ်ႇ
az_short,Azerbaijani,ဢၸႃးရီႇ
ba,Bashkir,ပၢတ်ႇသျ်ၵေးသ်
bal,Baluchi,ပလူးၶျီႇ
ban,Balinese,ပေႃးလူးၼိတ်ႉ
bar,Bavarian,ပဝႄးရီယႅၼ်ႇ
bas,Basa,ပႃးသႃႇ
bax,Bamun,ပႃႈမမ်ႇ
bbc,Batak Toba,ပႃးထၢၵ်ႇ ထူဝ်းပႃႇ
bbj,Ghomala',ၵူဝ်မႃးလႃႇ
